country,year,age,suicides_no,population,sucide_rate,hdi_for_year,gdp_for_year,gdp_per_capita,sex_male,generation_G.I. Generation,generation_Generation X,generation_Generation Z,generation_Millenials,generation_Silent
0,1987,2,21,312900,6.71,0.619,2156624900.0,796,1,0,1,0,0,0
0,1987,4,16,308000,5.19,0.619,2156624900.0,796,1,0,0,0,0,1
0,1987,2,14,289700,4.83,0.619,2156624900.0,796,0,0,1,0,0,0
0,1987,6,1,21800,4.59,0.619,2156624900.0,796,1,1,0,0,0,0
0,1987,3,9,274300,3.28,0.619,2156624900.0,796,1,0,0,0,0,0
0,1987,6,1,35600,2.81,0.619,2156624900.0,796,0,1,0,0,0,0
0,1987,4,6,278800,2.15,0.619,2156624900.0,796,0,0,0,0,0,1
0,1987,3,4,257200,1.56,0.619,2156624900.0,796,0,0,0,0,0,0
0,1987,5,1,137500,0.73,0.619,2156624900.0,796,1,1,0,0,0,0
0,1987,1,0,311000,0.0,0.619,2156624900.0,796,0,0,1,0,0,0
0,1987,5,0,144600,0.0,0.619,2156624900.0,796,0,1,0,0,0,0
0,1987,1,0,338200,0.0,0.619,2156624900.0,796,1,0,1,0,0,0
0,1988,6,2,36400,5.49,0.619,2126000000.0,769,0,1,0,0,0,0
0,1988,2,17,319200,5.33,0.619,2126000000.0,769,1,0,1,0,0,0
0,1988,6,1,22300,4.48,0.619,2126000000.0,769,1,1,0,0,0,0
0,1988,4,14,314100,4.46,0.619,2126000000.0,769,1,0,0,0,0,1
0,1988,5,4,140200,2.85,0.619,2126000000.0,769,1,1,0,0,0,0
0,1988,2,8,295600,2.71,0.619,2126000000.0,769,0,0,1,0,0,0
0,1988,5,3,147500,2.03,0.619,2126000000.0,769,0,1,0,0,0,0
0,1988,3,5,262400,1.91,0.619,2126000000.0,769,0,0,0,0,0,0
0,1988,3,5,279900,1.79,0.619,2126000000.0,769,1,0,0,0,0,0
0,1988,4,4,284500,1.41,0.619,2126000000.0,769,0,0,0,0,0,1
0,1988,1,0,317200,0.0,0.619,2126000000.0,769,0,0,1,0,0,0
0,1988,1,0,345000,0.0,0.619,2126000000.0,769,1,0,1,0,0,0
0,1989,6,2,22500,8.89,0.619,2335124988.0,833,1,1,0,0,0,0
0,1989,3,18,283600,6.35,0.619,2335124988.0,833,1,0,0,0,0,0
0,1989,4,15,318400,4.71,0.619,2335124988.0,833,1,0,0,0,0,1
0,1989,5,6,142100,4.22,0.619,2335124988.0,833,1,1,0,0,0,0
0,1989,2,12,323500,3.71,0.619,2335124988.0,833,1,0,1,0,0,0
0,1989,4,7,288600,2.43,0.619,2335124988.0,833,0,0,0,0,0,1
0,1989,2,5,299900,1.67,0.619,2335124988.0,833,0,0,1,0,0,0
0,1989,3,2,266300,0.75,0.619,2335124988.0,833,0,0,0,0,0,0
0,1989,5,1,149600,0.67,0.619,2335124988.0,833,0,1,0,0,0,0
0,1989,1,0,321900,0.0,0.619,2335124988.0,833,0,0,1,0,0,0
0,1989,6,0,37000,0.0,0.619,2335124988.0,833,0,1,0,0,0,0
0,1989,1,0,349700,0.0,0.619,2335124988.0,833,1,0,1,0,0,0
0,1992,4,12,343800,3.49,0.619,709452584.0,251,1,0,0,0,0,0
0,1992,2,9,263700,3.41,0.619,709452584.0,251,1,0,1,0,0,0
0,1992,5,5,159500,3.13,0.619,709452584.0,251,1,0,0,0,0,1
0,1992,3,7,245500,2.85,0.619,709452584.0,251,1,0,0,0,0,0
0,1992,2,7,292400,2.39,0.619,709452584.0,251,0,0,1,0,0,0
0,1992,3,4,267400,1.5,0.619,709452584.0,251,0,0,0,0,0,0
0,1992,4,2,323100,0.62,0.619,709452584.0,251,0,0,0,0,0,0
0,1992,5,1,164900,0.61,0.619,709452584.0,251,0,0,0,0,0,1
0,1992,1,0,336700,0.0,0.619,709452584.0,251,0,0,0,0,1,0
0,1992,6,0,38700,0.0,0.619,709452584.0,251,0,1,0,0,0,0
0,1992,1,0,362900,0.0,0.619,709452584.0,251,1,0,0,0,1,0
0,1992,6,0,23900,0.0,0.619,709452584.0,251,1,1,0,0,0,0
0,1993,2,18,243300,7.4,0.619,1228071038.0,437,1,0,1,0,0,0
0,1993,5,7,165000,4.24,0.619,1228071038.0,437,1,0,0,0,0,1
0,1993,6,1,24200,4.13,0.619,1228071038.0,437,1,1,0,0,0,0
0,1993,3,9,230100,3.91,0.619,1228071038.0,437,1,0,0,0,0,0
0,1993,2,10,285300,3.51,0.619,1228071038.0,437,0,0,1,0,0,0
0,1993,4,10,350300,2.85,0.619,1228071038.0,437,1,0,0,0,0,0
0,1993,3,7,261800,2.67,0.619,1228071038.0,437,0,0,0,0,0,0
0,1993,4,7,331200,2.11,0.619,1228071038.0,437,0,0,0,0,0,0
0,1993,5,2,169500,1.18,0.619,1228071038.0,437,0,0,0,0,0,1
0,1993,1,1,340300,0.29,0.619,1228071038.0,437,0,0,0,0,1,0
0,1993,1,1,367000,0.27,0.619,1228071038.0,437,1,0,0,0,1,0
0,1993,6,0,39300,0.0,0.619,1228071038.0,437,0,1,0,0,0,0
0,1994,6,2,24600,8.13,0.619,1985673798.0,697,1,1,0,0,0,0
0,1994,5,11,171400,6.42,0.619,1985673798.0,697,1,0,0,0,0,1
0,1994,6,2,39900,5.01,0.619,1985673798.0,697,0,1,0,0,0,0
0,1994,3,6,231400,2.59,0.619,1985673798.0,697,1,0,0,0,0,0
0,1994,4,9,362800,2.48,0.619,1985673798.0,697,1,0,0,0,0,0
0,1994,2,6,242200,2.48,0.619,1985673798.0,697,1,0,1,0,0,0
0,1994,2,6,282600,2.12,0.619,1985673798.0,697,0,0,1,0,0,0
0,1994,3,4,261100,1.53,0.619,1985673798.0,697,0,0,0,0,0,0
0,1994,4,2,342500,0.58,0.619,1985673798.0,697,0,0,0,0,0,0
